LEA,LEA Name,Position Category,Rural Status,2023-2024 Headcount,2024-2025 Headcount,Difference,People Returned,People Left ,New People,Turnover Rate,
0540,Clear Creek RE-1,Crafts/Trades/Services,Small Rural,27,26,-1,18,9,8,33.33%,
0540,Clear Creek RE-1,Instructional Support,Small Rural,6,7,1,4,2,3,33.33%,
0540,Clear Creek RE-1,Office/Administrative Support,Small Rural,9,10,1,6,3,4,33.33%,
0540,Clear Creek RE-1,Other Support/Special Service Providers,Small Rural,1,3,2,1,0,2,0.00%,
0540,Clear Creek RE-1,Paraprofessional,Small Rural,22,16,-6,13,9,3,40.91%,
0540,Clear Creek RE-1,Principals,Small Rural,6,6,0,4,2,2,33.33%,
0540,Clear Creek RE-1,Professional-Other,Small Rural,8,6,-2,4,4,2,50.00%,
0540,Clear Creek RE-1,Teachers,Small Rural,56,55,-1,40,16,15,28.57%,
0540,Clear Creek RE-1 Total,0540 All Job Catagories Totals,Small Rural,137,135,-2,91,46,44,33.58%,
0550,North Conejos RE-1J,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0550,North Conejos RE-1J,Crafts/Trades/Services,Small Rural,26,24,-2,24,2,0,7.69%,
0550,North Conejos RE-1J,Instructional Support,Small Rural,3,9,6,2,1,7,33.33%,
0550,North Conejos RE-1J,Office/Administrative Support,Small Rural,7,8,1,7,0,1,0.00%,
0550,North Conejos RE-1J,Other Support/Special Service Providers,Small Rural,1,1,0,1,0,0,0.00%,
0550,North Conejos RE-1J,Paraprofessional,Small Rural,10,10,0,8,2,2,20.00%,
0550,North Conejos RE-1J,Principals,Small Rural,6,6,0,5,1,1,16.67%,
0550,North Conejos RE-1J,Professional-Other,Small Rural,3,2,-1,2,1,0,33.33%,
0550,North Conejos RE-1J,Teachers,Small Rural,74,67,-7,61,13,6,17.57%,
0550,North Conejos RE-1J Total,0550 All Job Catagories Totals,Small Rural,131,128,-3,111,20,17,15.27%,
0560,Sanford 6J,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0560,Sanford 6J,Crafts/Trades/Services,Small Rural,13,12,-1,10,3,2,23.08%,
0560,Sanford 6J,Instructional Support,Small Rural,4,5,1,3,1,2,25.00%,
0560,Sanford 6J,Office/Administrative Support,Small Rural,4,4,0,4,0,0,0.00%,
0560,Sanford 6J,Other Support/Special Service Providers,Small Rural,1,1,0,1,0,0,0.00%,
0560,Sanford 6J,Paraprofessional,Small Rural,14,12,-2,10,4,2,28.57%,
0560,Sanford 6J,Principals,Small Rural,1,2,1,1,0,1,0.00%,
0560,Sanford 6J,Professional-Other,Small Rural,0,0,0,0,0,0,NA,
0560,Sanford 6J,Teachers,Small Rural,27,26,-1,25,2,1,7.41%,
0560,Sanford 6J Total,0560 All Job Catagories Totals,Small Rural,65,63,-2,55,10,8,15.38%,
0580,South Conejos RE-10,Adminstrators,Small Rural,1,3,2,1,0,2,0.00%,
0580,South Conejos RE-10,Crafts/Trades/Services,Small Rural,10,6,-4,4,6,2,60.00%,
0580,South Conejos RE-10,Instructional Support,Small Rural,5,2,-3,1,4,1,80.00%,
0580,South Conejos RE-10,Office/Administrative Support,Small Rural,2,2,0,2,0,0,0.00%,
0580,South Conejos RE-10,Other Support/Special Service Providers,Small Rural,1,1,0,1,0,0,0.00%,
0580,South Conejos RE-10,Paraprofessional,Small Rural,13,11,-2,8,5,3,38.46%,
0580,South Conejos RE-10,Principals,Small Rural,2,2,0,2,0,0,0.00%,
0580,South Conejos RE-10,Professional-Other,Small Rural,2,1,-1,1,1,0,50.00%,
0580,South Conejos RE-10,Teachers,Small Rural,19,19,0,12,7,7,36.84%,
0580,South Conejos RE-10 Total,0580 All Job Catagories Totals,Small Rural,55,47,-8,32,23,15,41.82%,
0640,Centennial R-1,Adminstrators,Small Rural,1,1,0,0,1,1,100.00%,
0640,Centennial R-1,Crafts/Trades/Services,Small Rural,1,6,5,0,1,6,100.00%,
0640,Centennial R-1,Instructional Support,Small Rural,2,1,-1,0,2,1,100.00%,
0640,Centennial R-1,Office/Administrative Support,Small Rural,1,1,0,0,1,1,100.00%,
0640,Centennial R-1,Other Support/Special Service Providers,Small Rural,0,0,0,0,0,0,NA,
0640,Centennial R-1,Paraprofessional,Small Rural,10,16,6,9,1,7,10.00%,
0640,Centennial R-1,Principals,Small Rural,2,2,0,1,1,1,50.00%,
0640,Centennial R-1,Professional-Other,Small Rural,5,4,-1,3,2,1,40.00%,
0640,Centennial R-1,Teachers,Small Rural,12,17,5,9,3,8,25.00%,
0640,Centennial R-1 Total,0640 All Job Catagories Totals,Small Rural,34,48,14,22,12,26,35.29%,
0740,Sierra Grande R-30,Adminstrators,Small Rural,2,1,-1,1,1,0,50.00%,
0740,Sierra Grande R-30,Crafts/Trades/Services,Small Rural,10,7,-3,6,4,1,40.00%,
0740,Sierra Grande R-30,Instructional Support,Small Rural,4,3,-1,1,3,2,75.00%,
0740,Sierra Grande R-30,Office/Administrative Support,Small Rural,4,3,-1,3,1,0,25.00%,
0740,Sierra Grande R-30,Other Support/Special Service Providers,Small Rural,1,1,0,1,0,0,0.00%,
0740,Sierra Grande R-30,Paraprofessional,Small Rural,8,5,-3,2,6,3,75.00%,
0740,Sierra Grande R-30,Principals,Small Rural,2,2,0,2,0,0,0.00%,
0740,Sierra Grande R-30,Professional-Other,Small Rural,3,2,-1,2,1,0,33.33%,
0740,Sierra Grande R-30,Teachers,Small Rural,22,15,-7,10,12,5,54.55%,
0740,Sierra Grande R-30 Total,0740 All Job Catagories Totals,Small Rural,56,39,-17,28,28,11,50.00%,
0770,Crowley County RE-1-J,Adminstrators,Small Rural,2,1,-1,1,1,0,50.00%,
0770,Crowley County RE-1-J,Crafts/Trades/Services,Small Rural,10,9,-1,7,3,2,30.00%,
0770,Crowley County RE-1-J,Instructional Support,Small Rural,3,2,-1,1,2,1,66.67%,
0770,Crowley County RE-1-J,Office/Administrative Support,Small Rural,2,2,0,2,0,0,0.00%,
0770,Crowley County RE-1-J,Other Support/Special Service Providers,Small Rural,1,1,0,1,0,0,0.00%,
0770,Crowley County RE-1-J,Paraprofessional,Small Rural,23,18,-5,16,7,2,30.43%,
0770,Crowley County RE-1-J,Principals,Small Rural,4,4,0,4,0,0,0.00%,
0770,Crowley County RE-1-J,Professional-Other,Small Rural,3,5,2,3,0,2,0.00%,
0770,Crowley County RE-1-J,Teachers,Small Rural,20,22,2,17,3,5,15.00%,
0770,Crowley County RE-1-J Total,0770 All Job Catagories Totals,Small Rural,68,64,-4,52,16,12,23.53%,
0860,Custer County School District C-1,Adminstrators,Small Rural,2,3,1,1,1,2,50.00%,
0860,Custer County School District C-1,Crafts/Trades/Services,Small Rural,9,9,0,7,2,2,22.22%,
0860,Custer County School District C-1,Instructional Support,Small Rural,2,5,3,2,0,3,0.00%,
0860,Custer County School District C-1,Office/Administrative Support,Small Rural,3,3,0,3,0,0,0.00%,
0860,Custer County School District C-1,Other Support/Special Service Providers,Small Rural,1,1,0,1,0,0,0.00%,
0860,Custer County School District C-1,Paraprofessional,Small Rural,17,20,3,10,7,10,41.18%,
0860,Custer County School District C-1,Principals,Small Rural,2,2,0,1,1,1,50.00%,
0860,Custer County School District C-1,Professional-Other,Small Rural,8,7,-1,6,2,1,25.00%,
0860,Custer County School District C-1,Teachers,Small Rural,28,30,2,23,5,7,17.86%,
0860,Custer County School District C-1 Total,0860 All Job Catagories Totals,Small Rural,72,80,8,54,18,26,25.00%,
0870,Delta County 50(J),Adminstrators,Rural,10,9,-1,8,2,1,20.00%,
0870,Delta County 50(J),Crafts/Trades/Services,Rural,128,132,4,109,19,23,14.84%,
0870,Delta County 50(J),Instructional Support,Rural,46,32,-14,30,16,2,34.78%,
0870,Delta County 50(J),Office/Administrative Support,Rural,42,38,-4,30,12,8,28.57%,
0870,Delta County 50(J),Other Support/Special Service Providers,Rural,17,19,2,13,4,6,23.53%,
0870,Delta County 50(J),Paraprofessional,Rural,207,192,-15,154,53,38,25.60%,
0870,Delta County 50(J),Principals,Rural,26,26,0,24,2,2,7.69%,
0870,Delta County 50(J),Professional-Other,Rural,27,34,7,19,8,15,29.63%,
0870,Delta County 50(J),Teachers,Rural,259,269,10,229,30,40,11.58%,
0870,Delta County 50(J) Total,0870 All Job Catagories Totals,Rural,762,751,-11,616,146,135,19.16%,
0880,Denver County 1,Adminstrators,Non-Rural,534,558,24,427,107,131,20.04%,
0880,Denver County 1,Crafts/Trades/Services,Non-Rural,1690,1792,102,1351,339,441,20.06%,
0880,Denver County 1,Instructional Support,Non-Rural,1146,1125,-21,847,299,278,26.09%,
0880,Denver County 1,Office/Administrative Support,Non-Rural,565,581,16,462,103,119,18.23%,
0880,Denver County 1,Other Support/Special Service Providers,Non-Rural,730,781,51,576,154,205,21.10%,
0880,Denver County 1,Paraprofessional,Non-Rural,2735,3048,313,1957,778,1091,28.45%,
0880,Denver County 1,Principals,Non-Rural,513,521,8,420,93,101,18.13%,
0880,Denver County 1,Professional-Other,Non-Rural,1370,1340,-30,1049,321,291,23.43%,
0880,Denver County 1,Teachers,Non-Rural,6268,6324,56,5271,997,1053,15.91%,
0880,Denver County 1 Total,0880 All Job Catagories Totals,Non-Rural,15551,16070,519,12360,3191,3710,20.52%,
0890,Dolores County RE No.2,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0890,Dolores County RE No.2,Crafts/Trades/Services,Small Rural,11,11,0,10,1,1,9.09%,
0890,Dolores County RE No.2,Instructional Support,Small Rural,2,2,0,2,0,0,0.00%,
0890,Dolores County RE No.2,Office/Administrative Support,Small Rural,3,3,0,3,0,0,0.00%,
0890,Dolores County RE No.2,Other Support/Special Service Providers,Small Rural,1,1,0,1,0,0,0.00%,
0890,Dolores County RE No.2,Paraprofessional,Small Rural,15,9,-6,7,8,2,53.33%,
0890,Dolores County RE No.2,Principals,Small Rural,2,2,0,2,0,0,0.00%,
0890,Dolores County RE No.2,Professional-Other,Small Rural,4,4,0,4,0,0,0.00%,
0890,Dolores County RE No.2,Teachers,Small Rural,21,21,0,17,4,4,19.05%,
0890,Dolores County RE No.2 Total,0890 All Job Catagories Totals,Small Rural,60,54,-6,47,13,7,21.67%,
0900,Douglas County Re 1,Adminstrators,Non-Rural,30,29,-1,27,3,2,10.00%,
0900,Douglas County Re 1,Crafts/Trades/Services,Non-Rural,811,904,93,664,147,240,18.13%,
0900,Douglas County Re 1,Instructional Support,Non-Rural,685,836,151,593,92,243,13.43%,
0900,Douglas County Re 1,Office/Administrative Support,Non-Rural,493,501,8,424,69,77,14.00%,
0900,Douglas County Re 1,Other Support/Special Service Providers,Non-Rural,447,456,9,381,66,75,14.77%,
0900,Douglas County Re 1,Paraprofessional,Non-Rural,1735,1835,100,1362,373,473,21.50%,
0900,Douglas County Re 1,Principals,Non-Rural,226,230,4,200,26,30,11.50%,
0900,Douglas County Re 1,Professional-Other,Non-Rural,454,479,25,403,51,76,11.23%,
0900,Douglas County Re 1,Teachers,Non-Rural,3691,3636,-55,3139,552,497,14.96%,
0900,Douglas County Re 1 Total,0900 All Job Catagories Totals,Non-Rural,8572,8906,334,7193,1379,1713,16.09%,
0910,Eagle County RE 50,Adminstrators,Rural,15,18,3,14,1,4,6.67%,
0910,Eagle County RE 50,Crafts/Trades/Services,Rural,124,125,1,102,22,23,17.74%,
0910,Eagle County RE 50,Instructional Support,Rural,47,53,6,39,8,14,17.02%,
0910,Eagle County RE 50,Office/Administrative Support,Rural,69,71,2,58,11,13,15.94%,
0910,Eagle County RE 50,Other Support/Special Service Providers,Rural,33,35,2,25,8,10,24.24%,
0910,Eagle County RE 50,Paraprofessional,Rural,178,177,-1,127,51,50,28.65%,
0910,Eagle County RE 50,Principals,Rural,31,32,1,29,2,3,6.45%,
0910,Eagle County RE 50,Professional-Other,Rural,46,44,-2,34,12,10,26.09%,
0910,Eagle County RE 50,Teachers,Rural,514,517,3,439,75,78,14.59%,
0910,Eagle County RE 50 Total,0910 All Job Catagories Totals,Rural,1057,1072,15,867,190,205,17.98%,
0920,Elizabeth School District,Adminstrators,Rural,12,14,2,6,6,8,50.00%,
0920,Elizabeth School District,Crafts/Trades/Services,Rural,67,72,5,45,22,27,32.84%,
0920,Elizabeth School District,Instructional Support,Rural,19,14,-5,6,13,8,68.42%,
0920,Elizabeth School District,Office/Administrative Support,Rural,23,30,7,20,3,10,13.04%,
0920,Elizabeth School District,Other Support/Special Service Providers,Rural,17,14,-3,6,11,8,64.71%,
0920,Elizabeth School District,Paraprofessional,Rural,103,93,-10,46,57,47,55.34%,
0920,Elizabeth School District,Principals,Rural,8,10,2,5,3,5,37.50%,
0920,Elizabeth School District,Professional-Other,Rural,13,9,-4,6,7,3,53.85%,
0920,Elizabeth School District,Teachers,Rural,153,154,1,104,49,50,32.03%,
0920,Elizabeth School District Total,0920 All Job Catagories Totals,Rural,415,410,-5,244,171,166,41.20%,
0930,Kiowa C-2,Adminstrators,Small Rural,1,2,1,1,0,1,0.00%,
0930,Kiowa C-2,Crafts/Trades/Services,Small Rural,9,4,-5,3,6,1,66.67%,
0930,Kiowa C-2,Instructional Support,Small Rural,1,4,3,0,1,4,100.00%,
0930,Kiowa C-2,Office/Administrative Support,Small Rural,4,3,-1,1,3,2,75.00%,
0930,Kiowa C-2,Other Support/Special Service Providers,Small Rural,1,1,0,1,0,0,0.00%,
0930,Kiowa C-2,Paraprofessional,Small Rural,18,15,-3,8,10,7,55.56%,
0930,Kiowa C-2,Principals,Small Rural,2,1,-1,1,1,0,50.00%,
0930,Kiowa C-2,Professional-Other,Small Rural,0,1,1,0,0,1,NA,
0930,Kiowa C-2,Teachers,Small Rural,20,26,6,11,9,15,45.00%,
0930,Kiowa C-2 Total,0930 All Job Catagories Totals,Small Rural,56,57,1,26,30,31,53.57%,
0940,Big Sandy 100J,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0940,Big Sandy 100J,Crafts/Trades/Services,Small Rural,16,15,-1,15,1,0,6.25%,
0940,Big Sandy 100J,Instructional Support,Small Rural,2,2,0,2,0,0,0.00%,
0940,Big Sandy 100J,Office/Administrative Support,Small Rural,3,3,0,3,0,0,0.00%,
0940,Big Sandy 100J,Other Support/Special Service Providers,Small Rural,4,0,-4,0,4,0,100.00%,
0940,Big Sandy 100J,Paraprofessional,Small Rural,9,12,3,7,2,5,22.22%,
0940,Big Sandy 100J,Principals,Small Rural,2,2,0,2,0,0,0.00%,
0940,Big Sandy 100J,Professional-Other,Small Rural,2,1,-1,1,1,0,50.00%,
0940,Big Sandy 100J,Teachers,Small Rural,30,32,2,27,3,5,10.00%,
0940,Big Sandy 100J Total,0940 All Job Catagories Totals,Small Rural,69,68,-1,58,11,10,15.94%,
0950,Elbert 200,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0950,Elbert 200,Crafts/Trades/Services,Small Rural,10,9,-1,8,2,1,20.00%,
0950,Elbert 200,Instructional Support,Small Rural,0,0,0,0,0,0,NA,
0950,Elbert 200,Office/Administrative Support,Small Rural,5,4,-1,4,1,0,20.00%,
0950,Elbert 200,Other Support/Special Service Providers,Small Rural,3,0,-3,0,3,0,100.00%,
0950,Elbert 200,Paraprofessional,Small Rural,12,10,-2,8,4,2,33.33%,
0950,Elbert 200,Principals,Small Rural,3,3,0,3,0,0,0.00%,
0950,Elbert 200,Professional-Other,Small Rural,1,1,0,1,0,0,0.00%,
0950,Elbert 200,Teachers,Small Rural,22,24,2,20,2,4,9.09%,
0950,Elbert 200 Total,0950 All Job Catagories Totals,Small Rural,57,52,-5,45,12,7,21.05%,
0960,Agate 300,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
0960,Agate 300,Crafts/Trades/Services,Small Rural,6,4,-2,4,2,0,33.33%,
0960,Agate 300,Instructional Support,Small Rural,0,0,0,0,0,0,NA,
0960,Agate 300,Office/Administrative Support,Small Rural,0,0,0,0,0,0,NA,
0960,Agate 300,Other Support/Special Service Providers,Small Rural,0,0,0,0,0,0,NA,
0960,Agate 300,Paraprofessional,Small Rural,1,1,0,0,1,1,100.00%,
0960,Agate 300,Principals,Small Rural,1,0,-1,0,1,0,100.00%,
0960,Agate 300,Professional-Other,Small Rural,2,1,-1,1,1,0,50.00%,
0960,Agate 300,Teachers,Small Rural,8,9,1,7,1,2,12.50%,
0960,Agate 300 Total,0960 All Job Catagories Totals,Small Rural,19,16,-3,13,6,3,31.58%,
0970,Calhan RJ-1,Adminstrators,Small Rural,2,1,-1,0,2,1,100.00%,
0970,Calhan RJ-1,Crafts/Trades/Services,Small Rural,16,16,0,14,2,2,12.50%,
0970,Calhan RJ-1,Instructional Support,Small Rural,2,5,3,2,0,3,0.00%,
0970,Calhan RJ-1,Office/Administrative Support,Small Rural,2,3,1,2,0,1,0.00%,
0970,Calhan RJ-1,Other Support/Special Service Providers,Small Rural,2,0,-2,0,2,0,100.00%,
0970,Calhan RJ-1,Paraprofessional,Small Rural,14,17,3,10,4,7,28.57%,
0970,Calhan RJ-1,Principals,Small Rural,3,3,0,2,1,1,33.33%,
0970,Calhan RJ-1,Professional-Other,Small Rural,5,4,-1,4,1,0,20.00%,
0970,Calhan RJ-1,Teachers,Small Rural,39,38,-1,33,6,5,15.38%,
0970,Calhan RJ-1 Total,0970 All Job Catagories Totals,Small Rural,85,87,2,67,18,20,21.18%,
0980,Harrison 2,Adminstrators,Non-Rural,32,40,8,26,6,14,18.75%,
0980,Harrison 2,Crafts/Trades/Services,Non-Rural,249,257,8,191,58,66,23.29%,
0980,Harrison 2,Instructional Support,Non-Rural,131,168,37,93,38,75,29.01%,
0980,Harrison 2,Office/Administrative Support,Non-Rural,117,119,2,91,26,28,22.22%,
0980,Harrison 2,Other Support/Special Service Providers,Non-Rural,67,86,19,40,27,46,40.30%,
0980,Harrison 2,Paraprofessional,Non-Rural,350,410,60,222,128,188,36.57%,
0980,Harrison 2,Principals,Non-Rural,67,75,8,56,11,19,16.42%,
0980,Harrison 2,Professional-Other,Non-Rural,116,138,22,94,22,44,18.97%,
0980,Harrison 2,Teachers,Non-Rural,770,823,53,561,209,262,27.14%,
0980,Harrison 2 Total,0980 All Job Catagories Totals,Non-Rural,1899,2116,217,1374,525,742,27.65%,
0990,Widefield 3,Adminstrators,Non-Rural,16,15,-1,15,1,0,6.25%,
0990,Widefield 3,Crafts/Trades/Services,Non-Rural,227,222,-5,173,54,49,23.79%,
0990,Widefield 3,Instructional Support,Non-Rural,74,77,3,65,9,12,12.16%,
0990,Widefield 3,Office/Administrative Support,Non-Rural,95,105,10,84,11,21,11.58%,
0990,Widefield 3,Other Support/Special Service Providers,Non-Rural,64,65,1,51,13,14,20.31%,
0990,Widefield 3,Paraprofessional,Non-Rural,205,236,31,156,49,80,23.90%,
0990,Widefield 3,Principals,Non-Rural,35,37,2,33,2,4,5.71%,
0990,Widefield 3,Professional-Other,Non-Rural,40,39,-1,37,3,2,7.50%,
0990,Widefield 3,Teachers,Non-Rural,605,592,-13,491,114,101,18.84%,
0990,Widefield 3 Total,0990 All Job Catagories Totals,Non-Rural,1361,1388,27,1105,256,283,18.81%,
1000,Fountain 8,Adminstrators,Non-Rural,24,23,-1,20,4,3,16.67%,
1000,Fountain 8,Crafts/Trades/Services,Non-Rural,130,132,2,96,34,36,26.15%,
1000,Fountain 8,Instructional Support,Non-Rural,68,67,-1,52,16,15,23.53%,
1000,Fountain 8,Office/Administrative Support,Non-Rural,77,75,-2,62,15,13,19.48%,
1000,Fountain 8,Other Support/Special Service Providers,Non-Rural,60,66,6,50,10,16,16.67%,
1000,Fountain 8,Paraprofessional,Non-Rural,202,221,19,143,59,78,29.21%,
1000,Fountain 8,Principals,Non-Rural,35,36,1,32,3,4,8.57%,
1000,Fountain 8,Professional-Other,Non-Rural,23,31,8,19,4,12,17.39%,
1000,Fountain 8,Teachers,Non-Rural,485,488,3,396,89,92,18.35%,
1000,Fountain 8 Total,1000 All Job Catagories Totals,Non-Rural,1104,1139,35,870,234,269,21.20%,
1010,Colorado Springs 11,Adminstrators,Non-Rural,41,52,11,36,5,16,12.20%,
1010,Colorado Springs 11,Crafts/Trades/Services,Non-Rural,578,606,28,462,116,144,20.07%,
1010,Colorado Springs 11,Instructional Support,Non-Rural,377,450,73,286,91,164,24.14%,
1010,Colorado Springs 11,Office/Administrative Support,Non-Rural,278,297,19,226,52,71,18.71%,
1010,Colorado Springs 11,Other Support/Special Service Providers,Non-Rural,102,109,7,82,20,27,19.61%,
1010,Colorado Springs 11,Paraprofessional,Non-Rural,602,635,33,447,155,188,25.75%,
1010,Colorado Springs 11,Principals,Non-Rural,105,118,13,86,19,32,18.10%,
1010,Colorado Springs 11,Professional-Other,Non-Rural,145,156,11,119,26,37,17.93%,
1010,Colorado Springs 11,Teachers,Non-Rural,1492,1568,76,1193,299,375,20.04%,
1010,Colorado Springs 11 Total,1010 All Job Catagories Totals,Non-Rural,3720,3991,271,2937,783,1054,21.05%,
1020,Cheyenne Mountain 12,Adminstrators,Non-Rural,10,10,0,9,1,1,10.00%,
1020,Cheyenne Mountain 12,Crafts/Trades/Services,Non-Rural,73,78,5,60,13,18,17.81%,
1020,Cheyenne Mountain 12,Instructional Support,Non-Rural,19,19,0,17,2,2,10.53%,
1020,Cheyenne Mountain 12,Office/Administrative Support,Non-Rural,28,28,0,23,5,5,17.86%,
1020,Cheyenne Mountain 12,Other Support/Special Service Providers,Non-Rural,25,29,4,21,4,8,16.00%,
1020,Cheyenne Mountain 12,Paraprofessional,Non-Rural,79,85,6,63,16,22,20.25%,
1020,Cheyenne Mountain 12,Principals,Non-Rural,13,13,0,12,1,1,7.69%,
1020,Cheyenne Mountain 12,Professional-Other,Non-Rural,18,16,-2,15,3,1,16.67%,
1020,Cheyenne Mountain 12,Teachers,Non-Rural,255,253,-2,228,27,25,10.59%,
1020,Cheyenne Mountain 12 Total,1020 All Job Catagories Totals,Non-Rural,520,531,11,448,72,83,13.85%,
1030,Manitou Springs 14,Adminstrators,Non-Rural,5,5,0,4,1,1,20.00%,
1030,Manitou Springs 14,Crafts/Trades/Services,Non-Rural,33,29,-4,23,10,6,30.30%,
1030,Manitou Springs 14,Instructional Support,Non-Rural,11,18,7,8,3,10,27.27%,
1030,Manitou Springs 14,Office/Administrative Support,Non-Rural,15,15,0,13,2,2,13.33%,
1030,Manitou Springs 14,Other Support/Special Service Providers,Non-Rural,4,4,0,3,1,1,25.00%,
1030,Manitou Springs 14,Paraprofessional,Non-Rural,28,26,-2,21,7,5,25.00%,
1030,Manitou Springs 14,Principals,Non-Rural,7,7,0,6,1,1,14.29%,
1030,Manitou Springs 14,Professional-Other,Non-Rural,10,8,-2,7,3,1,30.00%,
1030,Manitou Springs 14,Teachers,Non-Rural,100,98,-2,86,14,12,14.00%,
1030,Manitou Springs 14 Total,1030 All Job Catagories Totals,Non-Rural,213,210,-3,171,42,39,19.72%,
1040,Academy 20,Adminstrators,Non-Rural,48,56,8,40,8,16,16.67%,
1040,Academy 20,Crafts/Trades/Services,Non-Rural,386,502,116,309,77,193,19.95%,
1040,Academy 20,Instructional Support,Non-Rural,208,274,66,163,45,111,21.63%,
1040,Academy 20,Office/Administrative Support,Non-Rural,315,295,-20,236,79,59,25.08%,
1040,Academy 20,Other Support/Special Service Providers,Non-Rural,103,114,11,83,20,31,19.42%,
1040,Academy 20,Paraprofessional,Non-Rural,671,712,41,478,193,234,28.76%,
1040,Academy 20,Principals,Non-Rural,107,106,-1,90,17,16,15.89%,
1040,Academy 20,Professional-Other,Non-Rural,135,129,-6,93,42,36,31.11%,
1040,Academy 20,Teachers,Non-Rural,1692,1616,-76,1361,331,255,19.56%,
1040,Academy 20 Total,1040 All Job Catagories Totals,Non-Rural,3665,3804,139,2853,812,951,22.16%,
1050,Ellicott 22,Adminstrators,Small Rural,4,5,1,1,3,4,75.00%,
1050,Ellicott 22,Crafts/Trades/Services,Small Rural,31,38,7,18,13,20,41.94%,
1050,Ellicott 22,Instructional Support,Small Rural,10,10,0,5,5,5,50.00%,
1050,Ellicott 22,Office/Administrative Support,Small Rural,11,10,-1,7,4,3,36.36%,
1050,Ellicott 22,Other Support/Special Service Providers,Small Rural,3,0,-3,0,3,0,100.00%,
1050,Ellicott 22,Paraprofessional,Small Rural,50,50,0,26,24,24,48.00%,
1050,Ellicott 22,Principals,Small Rural,6,6,0,5,1,1,16.67%,
1050,Ellicott 22,Professional-Other,Small Rural,4,5,1,3,1,2,25.00%,
1050,Ellicott 22,Teachers,Small Rural,65,71,6,55,10,16,15.38%,
1050,Ellicott 22 Total,1050 All Job Catagories Totals,Small Rural,184,195,11,120,64,75,34.78%,
1060,Peyton 23 Jt,Adminstrators,Small Rural,1,1,0,1,0,0,0.00%,
1060,Peyton 23 Jt,Crafts/Trades/Services,Small Rural,24,30,6,19,5,11,20.83%,
1060,Peyton 23 Jt,Instructional Support,Small Rural,4,8,4,3,1,5,25.00%,
1060,Peyton 23 Jt,Office/Administrative Support,Small Rural,6,8,2,6,0,2,0.00%,
1060,Peyton 23 Jt,Other Support/Special Service Providers,Small Rural,3,2,-1,0,3,2,100.00%,
1060,Peyton 23 Jt,Paraprofessional,Small Rural,21,21,0,14,7,7,33.33%,
1060,Peyton 23 Jt,Principals,Small Rural,2,3,1,1,1,2,50.00%,
1060,Peyton 23 Jt,Professional-Other,Small Rural,2,1,-1,1,1,0,50.00%,
1060,Peyton 23 Jt,Teachers,Small Rural,44,43,-1,34,10,9,22.73%,
1060,Peyton 23 Jt Total,1060 All Job Catagories Totals,Small Rural,107,117,10,79,28,38,26.17%,
1070,Hanover 28,Adminstrators,Small Rural,3,3,0,1,2,2,66.67%,
1070,Hanover 28,Crafts/Trades/Services,Small Rural,14,14,0,9,5,5,35.71%,
1070,Hanover 28,Instructional Support,Small Rural,0,0,0,0,0,0,NA,
1070,Hanover 28,Office/Administrative Support,Small Rural,2,4,2,2,0,2,0.00%,
1070,Hanover 28,Other Support/Special Service Providers,Small Rural,3,1,-2,1,2,0,66.67%,
1070,Hanover 28,Paraprofessional,Small Rural,16,11,-5,8,8,3,50.00%,
1070,Hanover 28,Principals,Small Rural,2,3,1,2,0,1,0.00%,
1070,Hanover 28,Professional-Other,Small Rural,5,3,-2,3,2,0,40.00%,
1070,Hanover 28,Teachers,Small Rural,23,20,-3,15,8,5,34.78%,
1070,Hanover 28 Total,1070 All Job Catagories Totals,Small Rural,68,59,-9,41,27,18,39.71%,
1080,Lewis-Palmer 38,Adminstrators,Rural,18,24,6,13,5,11,27.78%,
1080,Lewis-Palmer 38,Crafts/Trades/Services,Rural,126,106,-20,90,36,16,28.57%,
1080,Lewis-Palmer 38,Instructional Support,Rural,60,72,12,49,11,23,18.33%,
1080,Lewis-Palmer 38,Office/Administrative Support,Rural,65,66,1,54,11,12,16.92%,
1080,Lewis-Palmer 38,Other Support/Special Service Providers,Rural,36,37,1,30,6,7,16.67%,
1080,Lewis-Palmer 38,Paraprofessional,Rural,170,153,-17,119,51,34,30.00%,
1080,Lewis-Palmer 38,Principals,Rural,22,23,1,16,6,7,27.27%,
1080,Lewis-Palmer 38,Professional-Other,Rural,32,30,-2,25,7,5,21.88%,
1080,Lewis-Palmer 38,Teachers,Rural,394,382,-12,298,96,84,24.37%,
1080,Lewis-Palmer 38 Total,1080 All Job Catagories Totals,Rural,923,893,-30,694,229,199,24.81%,
1110,District 49,Adminstrators,Non-Rural,65,72,7,61,4,11,6.15%,
1110,District 49,Crafts/Trades/Services,Non-Rural,326,355,29,251,75,104,23.01%,
1110,District 49,Instructional Support,Non-Rural,190,235,45,152,38,83,20.00%,
1110,District 49,Office/Administrative Support,Non-Rural,202,202,0,144,58,58,28.71%,
1110,District 49,Other Support/Special Service Providers,Non-Rural,95,129,34,79,16,50,16.84%,
1110,District 49,Paraprofessional,Non-Rural,766,782,16,494,272,288,35.51%,
